"","President","BirthYear","FirstElected","DeathYear"
"15","George Washington",1732,1789,1799
"26","John Adams",1735,1797,1826
"37","Thomas Jefferson",1743,1801,1826
"23","James Madison",1751,1809,1836
"24","James Monroe",1758,1817,1831
"28","John Quincy Adams",1767,1825,1848
"2","Andrew Jackson",1767,1829,1845
"31","Martin Van Buren",1782,1837,1862
"29","John Tyler",1790,1841,1862
"40","William Henry Harrison",1773,1841,1841
"22","James K. Polk",1795,1845,1849
"44","Zachary Taylor",1784,1849,1850
"32","Millard Fillmore",1800,1850,1874
"11","Franklin Pierce",1804,1853,1869
"21","James Buchanan",1791,1857,1868
"1","Abraham Lincoln",1809,1861,1865
"3","Andrew Johnson",1808,1865,1875
"38","Ulysses S. Grant",1822,1869,1885
"35","Rutherford B. Hayes",1822,1877,1893
"8","Chester Arthur",1829,1881,1886
"20","James A. Garfield",1831,1881,1881
"17","Grover Cleveland",1837,1885,1908
"5","Benjamin Harrison",1833,1889,1901
"42","William McKinley",1843,1897,1901
"36","Theodore Roosevelt",1858,1901,1919
"41","William Howard Taft",1857,1909,1930
"43","Woodrow Wilson",1856,1913,1924
"39","Warren G. Harding",1865,1921,1923
"7","Calvin Coolidge",1872,1923,1933
"19","Herbert Hoover",1874,1929,1964
"12","Franklin Roosevelt",1882,1933,1945
"18","Harry S. Truman",1884,1945,1972
"10","Dwight Eisenhower",1890,1953,1969
"27","John F. Kennedy",1917,1961,1963
"30","Lyndon B. Johnson",1908,1963,1973
"33","Richard Nixon",1913,1969,1994
"16","Gerald Ford",1913,1974,2006
"25","Jimmy Carter",1924,1977,NA
"34","Ronald Reagan",1911,1981,2004
"13","George Bush",1924,1989,NA
"6","Bill Clinton",1946,1993,NA
"14","George W. Bush",1946,2001,NA
"4","Barack Obama",1961,2009,NA
"9","Donald Trump",1946,2017,NA
